city,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness
lebedinyy,58.52,125.52,1.45,-7.64,89,1024,4.88,1
dimona,31.07,35.03,59.43,58.37,74,1016,2.59,3
kang,-23.68,22.79,75.97,72.46,42,1012,6.96,93
saint-pierre,-21.34,55.48,74.48,76.6,65,1020,3.36,0
hamilton,39.18,-84.53,60.94,54.97,59,1025,9.17,1
inirida,3.87,-67.92,76.08,84.51,91,1010,1.68,99
canchungo,12.07,-16.03,77.0,87.3,100,1012,2.24,0
eloy,32.76,-111.55,60.89,45.25,42,1008,23.04,40
ponta do sol,32.67,-17.1,60.89,56.59,63,1023,6.93,20
bayangol,50.7,103.47,32.5,26.98,86,1020,2.68,0
hami,42.8,93.45,51.19,43.9,35,1023,4.9,0
alwar,27.57,76.6,79.03,74.3,17,1018,1.68,0
metro,-5.11,105.31,89.73,93.4,53,1011,7.27,77
galesong,-5.32,119.37,91.4,96.13,49,1009,4.7,20
teguise,29.06,-13.56,64.4,64.58,82,1022,4.7,0
ginda,30.69,78.49,62.87,57.31,30,1021,3.27,0
zhanakorgan,43.91,67.25,41.04,32.13,78,1031,10.22,1
koksovyy,48.2,40.6,47.82,40.93,83,1022,9.35,85
caravelas,-17.71,-39.25,72.28,77.02,90,1017,4.43,82
wer,27.0,77.17,77.58,72.72,18,1018,1.95,0
barra do garcas,-15.89,-52.26,74.93,78.57,74,1012,3.78,66
yantal,56.85,105.25,40.1,33.31,75,1012,5.91,1
indiaroba,-11.52,-37.51,72.12,77.13,89,1015,3.53,4
sitio novo do tocantins,-5.52,-47.46,76.73,82.49,76,1010,2.08,0
graham,47.05,-122.29,30.9,25.12,90,1022,3.02,1
buala,-8.14,159.59,86.25,92.93,62,1006,3.24,21
abu dhabi,24.47,54.37,76.23,81.75,73,1018,1.12,0
rio claro,-22.41,-47.56,68.43,67.78,55,1015,2.1,0
palmer,42.16,-72.33,45.63,44.26,100,1027,0.6,1
miram shah,33.01,70.07,69.48,63.79,20,1019,2.51,13
quepos,9.42,-84.17,67.06,72.64,100,1018,1.12,75
zhangye,38.93,100.45,48.83,40.05,35,1022,7.14,0
san ramon,37.78,-121.98,43.88,37.29,65,1012,5.59,1
hirara,24.8,125.28,75.52,68.97,65,1018,19.46,75
lanxi,29.22,119.48,65.57,60.37,44,1026,6.4,0
kavieng,-2.57,150.8,84.04,91.51,68,1007,2.44,41
wabash,40.8,-85.82,62.67,62.96,70,1022,1.01,0
muroto,33.28,134.15,66.2,53.73,34,1017,17.22,20
xining,36.62,101.77,44.53,39.0,43,1022,1.57,0
praya,14.92,-23.51,78.8,76.26,69,1015,16.11,0
saldanha,-33.01,17.94,48.2,44.28,87,1025,4.7,0
bagan,54.1,77.66,38.12,20.71,75,1005,24.29,35
yar-sale,66.83,70.83,17.91,8.55,97,983,7.31,95
turkistan,43.0,68.0,44.17,38.17,64,1032,4.5,0
pangnirtung,66.15,-65.71,7.95,-0.89,82,1013,4.81,15
bengkulu,-3.8,102.27,81.81,88.32,76,1011,5.26,98
charagua,-19.8,-63.22,78.89,76.73,41,1009,5.57,69
santiago del estero,-27.8,-64.26,67.66,68.14,86,1014,7.25,54
gbarnga,7.0,-9.47,69.89,76.68,98,1013,0.87,44
syracuse,37.09,15.28,51.39,47.95,100,1024,6.93,5
celestun,20.87,-90.4,77.43,80.55,82,1013,9.4,44
hambantota,6.12,81.12,82.4,93.0,88,1011,3.36,20
roma,43.21,-75.46,45.45,41.32,81,1028,3.36,1
manaure,11.78,-72.44,81.16,86.95,79,1012,7.07,92
buenos aires,-34.61,-58.38,68.83,63.54,77,1019,16.11,0
nampula,-15.12,39.27,71.31,69.94,88,1016,13.87,20
montecristo,8.3,-74.47,75.13,83.82,93,1012,0.89,100
pandan,14.05,124.17,85.91,91.8,72,1008,8.77,96
winona,43.97,-91.77,65.03,61.39,60,1014,7.0,22
santa rosa,14.31,121.11,84.18,92.75,83,1010,6.93,75
sao filipe,14.9,-24.5,79.36,83.32,75,1014,7.18,5
belaya gora,68.53,146.42,-12.39,-19.71,90,1021,1.01,93
lethem,3.38,-59.8,75.0,83.16,91,1011,1.12,100
yerbogachen,61.28,108.01,33.58,24.96,93,1004,8.9,100
dudinka,69.41,86.18,24.8,8.74,92,973,20.13,40
makakilo city,21.35,-158.09,81.3,81.23,54,1015,8.05,1
naze,28.37,129.48,72.52,64.04,56,1019,18.34,75
jiblah,13.92,44.15,60.71,57.27,55,1019,3.8,0
evensk,61.95,159.23,11.03,-1.59,88,1009,11.95,99
rawson,-43.3,-65.1,65.01,61.74,70,1016,8.55,83
wichian buri,15.66,101.11,86.0,83.62,51,1003,14.18,0
zhengjiatun,43.51,123.51,34.38,26.04,62,1025,6.42,8
jinchang,38.5,102.17,51.82,44.55,33,1021,4.7,0
beloha,-25.17,45.05,81.45,76.24,42,1017,12.64,0
sheridan,44.83,-106.92,21.04,11.35,62,1013,6.93,90
mecca,21.43,39.83,76.75,81.77,71,1015,1.74,0
acarau,-2.89,-40.12,80.49,80.01,78,1011,17.2,5
farsund,58.09,6.8,45.97,38.28,92,1024,11.07,77
sept-iles,50.2,-66.38,29.05,22.91,92,1024,3.36,90
beringovskiy,63.05,179.32,20.05,9.72,93,1007,9.22,27
surskoye,54.48,46.72,33.24,22.12,91,1015,13.13,29
papetoai,-17.5,-149.87,79.25,80.19,69,1012,10.29,90
melilla,35.29,-2.94,55.22,51.78,87,1021,6.93,0
sayyan,15.17,44.32,53.89,48.24,44,1020,3.8,0
bambanglipuro,-7.95,110.28,85.42,88.09,67,1011,11.81,88
emba,48.83,58.14,41.59,26.85,75,1014,20.45,100
saint augustine,29.89,-81.31,76.26,75.18,83,1017,16.11,1
kailua,21.4,-157.74,77.65,74.34,61,1014,13.87,1
abnub,27.27,31.15,57.2,54.09,71,1018,4.7,0
samarai,-10.62,150.67,79.29,80.69,86,1008,15.61,100
beyneu,45.32,55.2,43.14,30.15,75,1023,17.78,44
bella union,-30.28,-57.6,67.3,63.5,81,1014,13.4,100
eyl,7.98,49.82,80.64,77.63,71,1016,19.19,10
amapa,1.0,-52.0,72.43,78.73,96,1012,3.49,19
santiago,-33.46,-70.65,59.09,53.8,76,1019,10.29,33
nhamunda,-2.19,-56.71,76.3,84.67,92,1010,2.28,98
lensk,60.73,114.93,21.24,13.75,95,1012,4.43,100
olafsvik,64.89,-23.71,42.49,28.38,79,1006,19.98,100
kandrian,-6.22,149.55,83.19,89.55,79,1007,8.14,17
alexandria,31.22,29.96,62.6,61.54,82,1013,5.82,40
rostovka,55.38,71.89,33.71,17.6,94,994,22.3,100
simbahan,6.3,120.58,83.01,87.22,73,1008,9.33,18
iberia,29.95,-91.75,73.33,74.3,69,1017,5.82,1
kruisfontein,-34.0,24.73,55.99,56.3,95,1024,1.99,100
oksfjord,70.24,22.35,36.18,26.53,93,1001,11.41,89
visby,57.64,18.3,47.5,40.5,81,1027,9.17,84
buraydah,26.33,43.98,64.4,64.69,88,1018,5.82,40
nehe,48.48,124.83,21.07,11.59,83,1023,7.45,0
gumdag,39.21,54.59,50.7,45.23,64,1031,5.41,0
manadhoo,5.77,73.38,83.93,89.89,73,1013,7.11,90
bom jesus,-9.07,-44.36,73.89,76.28,68,1012,3.4,0
grand forks,47.94,-97.43,41.72,25.36,60,1007,21.92,1
manado,1.49,124.85,89.6,93.97,55,1008,6.93,20
longyearbyen,78.22,15.64,28.4,19.42,68,1003,6.93,75
colesberg,-30.72,25.1,61.97,57.72,51,1016,4.92,73
nichinan,31.6,131.37,64.4,59.79,48,1019,5.82,20
peskovka,59.04,52.36,30.81,20.88,98,1001,10.87,100
kautokeino,69.01,23.04,29.98,17.02,94,1005,15.79,24
filadelfia,39.95,-75.16,59.22,56.46,82,1029,6.93,1
usakos,-22.0,15.6,60.3,57.58,58,1016,2.95,61
chapais,49.78,-74.85,37.4,32.05,100,1018,4.7,75
xique-xique,-10.82,-42.73,76.89,72.79,67,1014,16.73,0
jurado,7.11,-77.76,75.4,80.74,83,1013,3.94,100
lang son,21.83,106.73,73.45,66.16,40,1021,12.01,0
kungurtug,50.6,97.52,35.56,30.78,78,1023,1.52,0
mocajuba,-2.58,-49.51,76.17,83.25,89,1010,3.51,20
suez,29.97,32.53,67.91,64.8,57,1015,6.73,0
paveh,35.04,46.36,41.0,34.66,93,1029,7.02,20
soe,-9.86,124.28,88.93,83.55,31,1009,11.95,97
ornskoldsvik,63.29,18.72,33.8,24.78,86,1020,9.17,0
santa maria,-29.68,-53.81,68.0,63.03,77,1016,14.99,40
maceio,-9.67,-35.74,75.2,83.35,94,1014,2.24,75
birecik,37.03,37.99,52.48,47.07,62,1021,5.64,0
harnoli,32.28,71.55,73.29,67.17,20,1017,3.98,0
ximei,24.96,118.38,73.4,64.54,43,1021,15.66,0
mahenge,-8.68,36.72,65.17,69.39,100,1017,2.04,30
odweyne,9.41,45.06,69.73,67.78,58,1019,5.79,0
barcelos,41.54,-8.62,57.31,53.8,93,1019,9.17,75
tula,54.2,37.61,33.8,26.44,90,1023,6.51,0
presidencia roque saenz pena,-26.79,-60.44,67.15,65.73,94,1013,12.19,96
brigantine,39.41,-74.36,52.95,50.63,93,1028,4.74,1
shellbrook,53.22,-106.4,14.0,-1.46,85,1012,17.22,90
kandi,11.13,2.94,71.69,66.54,26,1013,3.62,97
russell,32.35,-85.2,69.49,71.11,83,1022,5.82,40
tucurui,-3.77,-49.67,76.64,82.63,79,1010,2.57,12
angoche,-16.23,39.91,78.84,81.0,79,1015,11.34,21
chenghai,23.46,116.77,77.0,73.02,44,1019,8.95,0
pimentel,-6.84,-79.93,62.19,58.53,85,1016,10.78,54
arlit,18.74,7.39,67.55,59.38,32,1017,9.48,0
msanga,-6.05,36.03,68.0,66.99,82,1020,9.17,75
yumen,40.28,97.2,50.0,42.49,31,1022,4.54,0
storsteinnes,69.24,19.23,35.78,15.96,86,1009,28.86,100
valparaiso,-33.04,-71.63,53.6,51.44,100,1020,5.82,90
te karaka,-38.47,177.87,61.41,62.73,88,1006,2.1,79
abha,18.22,42.51,57.07,54.63,66,1028,2.62,0
arari,-3.45,-44.78,76.5,83.77,92,1010,4.45,1
juneau,58.3,-134.42,31.24,14.79,88,1010,21.92,90
severo-yeniseyskiy,60.37,93.04,35.1,21.34,92,995,18.34,100
rocha,-34.48,-54.33,53.6,52.52,94,1021,3.0,76
san cristobal,7.77,-72.22,66.43,70.5,91,1013,1.21,73
zhezkazgan,47.8,67.71,34.92,16.93,84,1022,25.23,52
